name,group,legal,rlg,f,r,n
species_175,herb,no,no,4,8,6
species_176,herb,no,no,4,NA,6
species_177,herb,no,no,4,NA,3
species_178,herb,no,no,4,7,5
species_179,herb,BG,no,NA,7,2
species_180,herb,no,no,NA,NA,NA
species_181,sub-grass,no,no,5,7,7
species_182,legume,no,no,4,7,3
species_183,herb,no,no,6,NA,NA
species_184,herb,no,no,8,NA,NA
species_185,herb,no,no,8,6,NA
species_186,herb,no,no,4,7,4
species_187,herb,no,no,NA,NA,NA
species_188,herb,no,no,5,5,5
species_189,legume,no,no,3,9,3
species_190,legume,no,no,4,8,NA
species_191,legume,no,V,3,8,2
species_192,legume,no,no,4,7,NA
species_193,legume,no,no,3,7,4
species_194,legume,no,no,3,8,3
species_195,herb,no,no,8,9,7
species_196,herb,no,no,5,NA,6
species_197,sub-grass,no,V,NA,2,2
species_198,herb,no,no,4,NA,4
species_199,legume,no,no,3,8,3
species_200,legume,no,no,4,7,3
species_201,legume,no,no,4,7,2
species_202,herb,no,no,3,8,3
species_203,parasite,no,no,NA,NA,NA
species_204,herb,no,no,4,5,5
species_205,herb,no,no,5,7,6
species_206,liana,no,no,NA,NA,NA
species_207,herb,no,no,4,8,5
species_208,herb,no,no,11,6,4
species_209,herb,no,no,7,5,5
species_210,herb,no,no,8,NA,8
species_211,herb,no,no,8,5,8
species_212,herb,no,no,8,6,7
species_213,herb,no,V,3,7,3
species_214,herb,no,3,4,8,2
species_215,herb,no,V,3,6,2
species_216,top-grass,no,no,9,7,7
species_217,top-grass,no,V,3,8,2
species_218,top-grass,no,no,5,NA,6
species_219,top-grass,no,no,5,6,5
species_220,herb,no,V,7,7,3
species_221,herb,no,no,4,NA,2
species_222,herb,no,no,4,8,2
species_223,herb,no,no,5,7,7
species_224,herb,no,no,3,NA,2
species_225,herb,no,no,NA,NA,NA
species_226,herb,no,no,5,NA,6
species_227,herb,no,no,7,5,4
species_228,herb,no,no,4,7,3
species_229,sub-grass,no,no,NA,NA,3
species_230,sub-grass,no,no,6,NA,8
species_231,sub-grass,no,no,3,9,3
species_232,sub-grass,no,no,5,NA,6
species_233,sub-grass,no,no,7,NA,7
species_234,grass,no,no,NA,NA,NA
species_235,herb,no,V,9,9,1
species_236,herb,no,V,5,3,2
species_237,herb,no,no,5,6,5
species_238,herb,no,no,4,NA,6
species_239,tree,no,no,7,8,6
species_240,herb,no,no,6,NA,7
species_241,herb,no,no,2,3,1
species_242,herb,no,no,NA,NA,2
species_243,herb,no,V,3,7,2
species_244,herb,no,V,3,9,2
species_245,herb,no,no,3,5,2
species_246,herb,no,no,6,7,5
species_247,herb,no,V,3,8,3
species_248,herb,no,no,5,7,NA
species_249,tree,no,no,5,7,5
species_250,tree,no,no,8,7,6
species_251,tree,no,no,NA,NA,NA
species_252,herb,no,no,6,NA,NA
species_253,herb,no,no,3,7,3
species_254,herb,no,V,4,NA,2
species_255,herb,no,no,7,NA,NA
species_256,herb,no,V,5,6,NA
species_257,herb,no,no,3,8,5
species_258,hemiparasite,no,no,4,7,3
species_259,hemiparasite,no,no,NA,NA,3
species_260,herb,no,no,8,8,6
species_261,halfshrub,no,no,4,NA,NA
species_262,halfshrub,no,no,NA,8,7
species_263,halfshrub,no,no,NA,NA,NA
species_264,herb,no,no,NA,NA,6
species_265,herb,no,no,7,NA,5
species_266,herb,no,no,6,NA,9
species_267,tree,no,no,NA,8,NA
species_268,shrub,no,no,NA,NA,NA
species_269,herb,no,no,4,9,4
species_270,herb,no,V,3,8,4
species_271,herb,no,no,3,8,2
species_272,herb,no,V,7,NA,NA
species_273,herb,no,no,5,7,5
species_274,herb,yes,V,4,5,3
species_275,herb,no,no,3,8,3
species_276,herb,no,no,9,8,7
species_277,legume,no,no,4,9,3
species_278,herb,no,no,2,NA,1
species_279,herb,no,no,3,5,3
species_280,herb,no,no,2,6,1
species_281,grass,no,no,4,5,6
species_282,grass,no,no,NA,NA,NA
species_283,grass,no,no,4,NA,7
species_284,sub-grass,no,no,4,NA,7
species_285,herb,no,V,NA,7,2
species_286,herb,no,no,6,7,8
species_287,herb,no,no,7,NA,NA
species_288,herb,no,1,4,7,6
species_289,herb,no,no,4,NA,7
species_290,herb,no,no,4,7,2
species_291,herb,no,no,4,NA,7
species_292,herb,no,no,NA,NA,6
species_293,herb,no,no,6,NA,7
species_294,herb,no,no,5,7,NA
species_295,herb,no,no,6,7,7
species_296,herb,no,no,4,8,8
species_297,herb,no,V,NA,NA,3
species_298,herb,no,no,7,7,6
species_299,herb,no,no,7,7,7
species_300,herb,no,no,4,4,3
species_301,herb,no,no,NA,7,8
species_302,herb,no,no,8,NA,8
species_303,herb,no,no,5,8,5
species_304,herb,no,no,NA,NA,7
species_305,herb,no,V,3,8,3
species_306,herb,no,no,5,7,6
species_307,herb,no,no,3,8,1
species_308,herb,no,no,4,NA,1
species_309,herb,no,no,4,7,6
species_310,legume,no,no,3,2,1
species_311,legume,no,no,4,6,3
species_312,legume,no,no,5,6,5
species_313,legume,no,no,6,7,5
species_314,legume,no,no,4,6,3
species_315,legume,no,V,3,8,2
species_316,legume,no,no,NA,NA,NA
species_317,legume,no,no,5,6,6
species_318,herb,no,no,6,7,8
species_319,top-grass,no,no,NA,NA,5
species_320,grass,no,no,NA,NA,NA
species_321,herb,no,no,6,8,NA
species_322,tree,no,V,8,7,7
species_323,herb,no,no,6,7,8
species_324,herb,no,no,8,7,5
species_325,herb,no,no,NA,NA,NA
species_326,herb,no,3,3,7,6
species_327,herb,no,no,4,8,5
species_328,herb,no,no,3,7,3
species_329,herb,no,no,5,7,7
species_330,herb,no,no,NA,NA,NA
species_331,herb,no,no,4,7,7
species_332,herb,no,no,5,7,7
species_333,herb,no,no,4,6,NA
species_334,herb,no,no,5,NA,NA
species_335,herb,no,no,5,7,7
species_336,herb,no,no,6,5,NA
species_337,herb,no,no,NA,NA,NA
species_338,legume,no,no,5,NA,NA
species_339,legume,no,no,4,NA,4
species_340,legume,no,no,NA,NA,NA
species_341,legume,no,no,5,6,5
species_342,legume,no,no,5,5,5
species_343,legume,no,no,NA,NA,NA
species_344,herb,no,no,NA,NA,NA
species_345,grass,no,no,2,5,1
species_test,NA,NA,3,1,3,3
